dh_demand,el_demand,price_el
3.319521605,3.99543379,30.49
3.239590222,3.99543379,24.75
3.181785305,3.99543379,23.26
3.150966773,3.99543379,22.28
3.171011447,3.99543379,24.28
3.239210338,3.99543379,23.7
3.303400548,3.99543379,22.53
3.26852675,3.99543379,20.7
3.343721009,3.99543379,24.61
3.26992427,3.99543379,26.05
3.041732184,3.99543379,28.44
2.480763769,3.99543379,28.61
2.003175076,3.99543379,30
1.48710372,3.99543379,29.17
1.596828354,3.99543379,27.64
1.647164394,3.99543379,28.07
1.865461975,3.99543379,33.23
2.119732232,3.99543379,32.94
3.018276355,3.99543379,38.55
3.315570536,3.99543379,43.32
3.29732888,3.99543379,41.77
3.108508068,3.99543379,38.69
3.015035455,3.99543379,35.16
2.898413713,3.99543379,32.61
2.734275732,3.99543379,31.08
2.669353546,3.99543379,25.7
2.62155499,3.99543379,24.95
2.596764462,3.99543379,24.62
2.613731622,3.99543379,24.21
2.671670781,3.99543379,25.63
2.725435474,3.99543379,29.89
2.697619749,3.99543379,37.99
2.761219778,3.99543379,47.08
2.699985802,3.99543379,58.77
2.512082615,3.99543379,55.45
2.046242205,3.99543379,51.57
1.647600849,3.99543379,49.98
1.933431118,3.99543379,47.31
2.0024011,3.99543379,46.67
2.060004197,3.99543379,47.09
2.232839545,3.99543379,51.03
2.368195968,3.99543379,54.38
3.47177265,3.99543379,62.77
3.854188994,3.99543379,68
3.856061096,3.99543379,64.84
3.815398062,3.99543379,47.5
3.605900067,3.99543379,43.27
3.407796569,3.99543379,39.94
3.285919987,3.99543379,35.8
3.160084565,3.99543379,30.06
3.08821455,3.99543379,29.3
3.052813939,3.99543379,28.9
3.060502519,3.99543379,28.27
3.099530396,3.99543379,29.23
3.180683011,3.99543379,32.44
3.184647965,3.99543379,39.26
3.196353667,3.99543379,47.95
3.101279412,3.99543379,59.52
2.852476008,3.99543379,55.95
2.444082406,3.99543379,51.95
2.039261675,3.99543379,50.14
1.72954935,3.99543379,47.22
1.856169236,3.99543379,46.54
1.913533663,3.99543379,47.03
2.139337799,3.99543379,50.91
2.422560836,3.99543379,54.24
3.509460274,3.99543379,62.84
3.937780397,3.99543379,68.19
3.921990634,3.99543379,64.88
3.686918604,3.99543379,47.5
3.568557773,3.99543379,43.24
3.439024983,3.99543379,39.97
3.241194568,3.99543379,35.94
3.151015757,3.99543379,30.05
3.082254174,3.99543379,29.3
3.043927013,3.99543379,28.91
3.066163066,3.99543379,28.3
3.137610349,3.99543379,29.27
3.2059323,3.99543379,32.48
3.189424476,3.99543379,39.3
3.276641686,3.99543379,47.95
3.191014336,3.99543379,59.52
2.983557879,3.99543379,55.95
2.425991714,3.99543379,51.88
1.93046344,3.99543379,50.06
1.917233167,3.99543379,47.13
2.026750397,3.99543379,46.43
2.081668224,3.99543379,46.97
2.336158325,3.99543379,50.87
2.641091442,3.99543379,54.15
3.771868494,3.99543379,62.77
4.118119111,3.99543379,68.12
4.027720072,3.99543379,64.91
3.789806321,3.99543379,47.49
3.661734042,3.99543379,43.22
3.534745181,3.99543379,39.96
3.361935594,3.99543379,35.93
3.270158021,3.99543379,30.08
3.188600474,3.99543379,29.34
3.172527226,3.99543379,28.97
3.220533624,3.99543379,28.37
3.351224768,3.99543379,29.36
3.452579013,3.99543379,32.57
3.449667349,3.99543379,39.39
3.500573716,3.99543379,48
